iter	Passed	Remaining
733	21662	7850
734	21745	7840
735	21822	7827
736	21903	7816
737	21967	7798
738	22016	7775
739	22059	7750
740	22109	7727
741	22150	7701
742	22199	7678
743	22249	7655
744	22306	7634
745	22370	7616
746	22418	7592
747	22465	7568
748	22513	7544
749	22558	7519
750	22635	7504
751	22691	7483
752	22737	7458
753	22784	7433
754	22832	7409
755	22875	7382
756	22909	7354
757	22950	7327
758	23006	7305
759	23063	7283
760	23123	7262
761	23174	7238
762	23217	7211
763	23256	7184
764	23302	7158
765	23355	7134
766	23391	7105
767	23427	7076
768	23462	7047
769	23496	7018
770	23532	6989
771	23570	6961
772	23613	6934
773	23650	6905
774	23682	6875
775	23713	6845
776	23747	6815
777	23784	6786
778	23820	6757
779	23850	6726
780	23883	6697
781	23916	6667
782	23948	6636
783	23993	6610
784	24029	6581
785	24067	6552
786	24099	6522
787	24136	6493
788	24175	6465
789	24210	6435
790	24243	6405
791	24274	6375
792	24305	6344
793	24334	6313
794	24366	6283
795	24398	6252
796	24449	6227
797	24505	6203
798	24544	6174
799	24582	6145
800	24617	6115
801	24661	6088
802	24710	6062
803	24757	6035
804	24794	6006
805	24840	5978
806	24885	5951
807	24930	5924
808	24988	5899
809	25046	5875
810	25105	5850
811	25166	5826
812	25225	5802
813	25281	5776
814	25339	5751
815	25402	5727
816	25461	5703
817	25521	5678
818	25585	5654
819	25649	5630
820	25707	5604
821	25772	5580
822	25828	5554
823	25891	5530
824	25951	5504
825	26054	5488
826	26122	5464
827	26183	5439
828	26258	5416
829	26336	5394
830	26401	5369
831	26474	5345
832	26567	5326
833	26642	5302
834	26823	5300
835	26904	5277
836	27100	5277
837	27274	5272
838	27429	5263
839	27556	5248
840	27684	5234
841	27798	5216
842	27892	5194
843	28006	5176
844	28105	5155
845	28186	5130
846	28260	5104
847	28392	5089
848	28484	5066
849	28560	5040
850	28648	5015
851	28716	4988
852	28778	4959
853	28847	4931
854	28939	4907
855	29109	4896
856	29191	4870
857	29256	4841
858	29336	4815
859	29435	4791
860	29518	4765
861	29584	4736
862	29642	4705
863	29705	4675
864	29775	4647
865	29852	4619
866	29924	4590
867	30006	4563
868	30057	4531
869	30094	4496
870	30128	4462
871	30161	4427
872	30196	4392
873	30226	4357
874	30256	4322
875	30287	4287
876	30314	4251
877	30345	4216
878	30374	4181
879	30407	4146
880	30437	4111
881	30468	4076
882	30502	4041
883	30533	4006
884	30567	3972
885	30599	3937
886	30644	3903
887	30674	3868
888	30705	3833
889	30738	3799
890	30769	3764
891	30801	3729
892	30829	3694
893	30863	3659
894	30894	3624
895	30926	3589
896	30958	3554
897	30989	3520
898	31040	3487
899	31072	3452
900	31103	3417
901	31131	3382
902	31161	3347
903	31194	3312
904	31229	3278
905	31264	3243
906	31300	3209
907	31336	3175
908	31366	3140
909	31395	3105
910	31428	3070
911	31462	3035
912	31496	3001
913	31526	2966
914	31558	2931
915	31593	2897
916	31628	2862
917	31664	2828
918	31696	2793
919	31727	2758
920	31758	2724
921	31789	2689
922	31824	2654
923	31855	2620
924	31887	2585
925	31916	2550
926	31951	2516
927	31989	2481
928	32022	2447
929	32052	2412
930	32090	2378
931	32122	2343
932	32159	2309
933	32191	2274
934	32223	2240
935	32256	2205
936	32292	2171
937	32325	2136
938	32357	2102
939	32390	2067
940	32422	2032
941	32456	1998
942	32489	1963
943	32526	1929
944	32561	1895
945	32595	1860
946	32629	1826
947	32665	1791
948	32693	1756
949	32725	1722
950	32762	1688
951	32792	1653
952	32826	1618
953	32857	1584
954	32890	1549
955	32924	1515
956	32966	1481
957	32998	1446
958	33028	1412
959	33060	1377
960	33089	1342
961	33119	1308
962	33146	1273
963	33177	1238
964	33207	1204
965	33238	1169
966	33266	1135
967	33294	1100
968	33323	1066
969	33352	1031
970	33383	997
971	33410	962
972	33437	927
973	33465	893
974	33492	858
975	33520	824
976	33550	789
977	33577	755
978	33609	720
979	33638	686
980	33666	652
981	33693	617
982	33716	583
983	33746	548
984	33776	514
985	33804	479
986	33834	445
987	33864	411
988	33889	376
989	33917	342
990	33947	308
991	33978	274
992	34007	239
993	34032	205
994	34058	171
995	34089	136
996	34115	102
997	34143	68
998	34175	34
999	34200	0
